run_id,block_leaf_lot,within_block_order,treatment_code,treatment,target_pH,target_temperature_C,oxygen_condition,blanching,biological_replicate,purpose,actual_run_order,actual_pH,actual_temperature_C,protocol_deviation
DOE-001,Lot 1,1,AIR,Air control,Native,25,Air,No,1,Untreated reference,,,,
DOE-002,Lot 1,2,N2,N2/anoxia,Native,25,"N2, sealed",No,1,Oxygen dependence,,,,
DOE-003,Lot 1,3,PH4,Acid suppression,4.0,25,Air,No,1,pH-mediated LOX suppression,,,,
DOE-004,Lot 1,4,BL,Blanch/LOX-off,Native,85,Air,"Yes, time TBD",1,Enzyme inactivation control,,,,
DOE-005,Lot 1,5,COLD,Cold suppression,Native,4,Air,No,1,Kinetic suppression,,,,
DOE-006,Lot 2,1,PH4,Acid suppression,4.0,25,Air,No,2,pH-mediated LOX suppression,,,,
DOE-007,Lot 2,2,COLD,Cold suppression,Native,4,Air,No,2,Kinetic suppression,,,,
DOE-008,Lot 2,3,AIR,Air control,Native,25,Air,No,2,Untreated reference,,,,
DOE-009,Lot 2,4,N2,N2/anoxia,Native,25,"N2, sealed",No,2,Oxygen dependence,,,,
DOE-010,Lot 2,5,BL,Blanch/LOX-off,Native,85,Air,"Yes, time TBD",2,Enzyme inactivation control,,,,
DOE-011,Lot 3,1,BL,Blanch/LOX-off,Native,85,Air,"Yes, time TBD",3,Enzyme inactivation control,,,,
DOE-012,Lot 3,2,AIR,Air control,Native,25,Air,No,3,Untreated reference,,,,
DOE-013,Lot 3,3,N2,N2/anoxia,Native,25,"N2, sealed",No,3,Oxygen dependence,,,,
DOE-014,Lot 3,4,COLD,Cold suppression,Native,4,Air,No,3,Kinetic suppression,,,,
DOE-015,Lot 3,5,PH4,Acid suppression,4.0,25,Air,No,3,pH-mediated LOX suppression,,,,
DOE-016,Lot 4,1,COLD,Cold suppression,Native,4,Air,No,4,Kinetic suppression,,,,
DOE-017,Lot 4,2,BL,Blanch/LOX-off,Native,85,Air,"Yes, time TBD",4,Enzyme inactivation control,,,,
DOE-018,Lot 4,3,PH4,Acid suppression,4.0,25,Air,No,4,pH-mediated LOX suppression,,,,
DOE-019,Lot 4,4,AIR,Air control,Native,25,Air,No,4,Untreated reference,,,,
DOE-020,Lot 4,5,N2,N2/anoxia,Native,25,"N2, sealed",No,4,Oxygen dependence,,,,
